index	type	text_english	text_ES	Go To	conditions	actions
1	Q	In sharp contrast with the ancient decay of other rooms, this one has been recently furnished, and this books seems to be some kind of journal. The early entries are dated decades ago, the newest only a few weeks ago. Very likely it was the Baron and his antecessors who wrote it.	"En contraste con las otras salas antiguas, esta habitación ha sido amueblada recientemente y este libro parece ser un diario de algún tipo. Las primeras páginas están escritas hace décadas, las últimas hace unas semanas; es muy posible que lo hayan escrito los distintos Barones Storme."	2		
2	A	Read one of the oldest entries.	Leer una de las páginas antiguas.	3		
2	A	Read the most recent entries.	Leer los hechos más recientes.	10		
2	A	Enough reading.	Suficiente lectura.	0		
3	Q	I, Claryn Storme start this journal to warn my descendants of the risks of our alliance. Since my grandfather found the Vampires while building our fortress, our pact has granted us unthinkable wealth and power. Their demonic blood makes our soldiers bloodthirsty and unstoppable, and their magic gives us an edge against all our rivals. Everybody fears us and they don't even know why... and for this all we pay is bringing them a fresh supply of blood.	Yo, Claryn Storme comienzo este diario para prevenir a mis descendientes del peligro de nuestra alianza. Desde que mi abuelo encontro a los Vampiros al construir esta fortaleza, nuestro pacto nos ha hecho ganar riqueza y poder. La sangre demoníaca hace a nuestros soldados sangrientos e imparables, y su magia nos da ventaja frente a cualquier rival. Todos nos temen y ni siquiera saben por qué... y a cambio de todo eso solamente pagamos con suministrarles sangre.	4		
4	A	This seems to be written around year 50 AE. Let's keep reading.	Parece haberlo escrito en el año 50AE. Sigamos leyendo.	5		
4	A	Enough reading.	Suficiente lectura.	0		
5	Q	But beware! For these ancient creatures, we are nothing but prey. Nothing would amuse them more than consuming our last drop of blood. We have a leverage on them... Outside this Temple they're not invulnerable so they rarely dare to walk outside, so they need us to guarantee their supply of blood. But they constantly plot and research to be able to extend their invulnerability beyond these walls... never listen to them if they ask you to perform the Rite of the Purest Blood!	¡Pero cuidado! Para estas antiguas criaturas no somos más que comida, y nada les divertiría más que consumir nuestra última gota de sangre. Tenemos ventaja sobre ellos... fuera de este Templo no son invulnerables, así que rara vez salen, y nos necesitan para que les traigamos su sangre. Pero constantemente planean e investigan cómo extender su invulnerabilidad fuera de estos muros... ¡Jamás les escuches si te hablan de ejecutar el Rito de la Sangre Más Pura!	6		
6	A	Let's keep reading.	Sigamos leyendo.	7		
6	A	Enough reading.	Suficiente lectura.	0		
7	Q	We should get rid of these monsters... We are already powerful and rich enough to, one day, take the throne of Varsilia without their help. But for now it is impossible, they are too strong and they hold us captive as much as we keep them. If we ever want to strike against them, we'd need to make them vulnerable again. All I know is their fountains of blood need to be 'defiled by the living' for their unholy ritual to end, but I have no idea what it means.	Deberíamos librarnos de estos monstruos... Ya tenemos poder para, algún día, conseguir el trono de Varsilia sin su ayuda. Pero son demasiado fuertes, y nos tienen aquí como prisioneros igual que nosotros les tenemos a ellos. Si algún día les atacamos, es necesario eliminar su invulnerabilidad. Para ello se que sus fuentes sagradas deben ser 'profanadas por los vivos', pero no sé lo que significa.	0		
10	Q	"All our men have seen the light and bow down to the might of the Blood Gods! Those who refused have been drained and their blood feasted by the Gods themselves... What a honor for the blasphemous fools! My wife Eirenda was growing suspicious but pretended to ignore everything... she wanted to travel to New Garand but I caught her in time; I need her to perform the Rite of the Purest Blood!"	"Todos los soldados han visto la luz y se han inclinado ante el poder de los Dioses de Sangre! Los que se negaron han sido desangrados y su sangre ha sido devorada por los dioses... ¡un gran honor para esos blasfemos estúpidos! Mi mujer Eirenda empezaba a sospechar aunque fingía no darse cuenta...quería viajar a New Garand pero la atrapé a tiempo; ¡La necesito para el Ritual de la Más Pura Sangre!"	11		
11	Q	They promised me immortality. I shall live forever upon the blood of the weak, as a Blood Lord myself! My hand won't tremble, for the Rite needs a willing man to sacrifice the blood of his own unborn child. I've waited years for Eirenda to expect a child, but nothing will stop me now. The whole valley and many miles around will be submerged in the Eternal Midnight, our new Dark Kingdom!	Me han prometido la inmortalidad. ¡Viviré para siempre, consumiendo la sangre de mis presas, como un Señor de la Sangre! Mi mano no dudará, ya que el ritual requiere que un hombre sacrifique a su propio hijo antes de que nazca. He esperado años a que Eirenda quede embarazada, ¡ahora nada me dentendra! ¡Todo el valle, y muchas millas de distancia se sumergirá en la Eterna Medianoche, nuestro nuevo Reino Oscuro!	0	VariableGreater#invitation,79	
11	Q	They promised me immortality. I shall live forever upon the blood of the weak, as a Blood Lord myself! My hand won't tremble, for the Rite needs a willing man to sacrifice the blood of his own unborn child. I've waited years for Eirenda to expect a child, but nothing will stop me now. The whole valley and many miles around will be submerged in the Eternal Midnight, our new Dark Kingdom!	Me han prometido la inmortalidad. ¡Viviré para siempre, consumiendo la sangre de mis presas, como un Señor de la Sangre! Mi mano no dudará, ya que el ritual requiere que un hombre sacrifique a su propio hijo antes de que nazca. He esperado años a que Eirenda quede embarazada, ¡ahora nada me dentendra! ¡Todo el valle, y muchas millas de distancia se sumergirá en la Eterna Medianoche, nuestro nuevo Reino Oscuro!	12		SetVariable#invitation,80
12,mercenary_grisenda	Q	[BLUE](Grissenda is so shocked and angered that she can barely contain herself. Her knuckles turn white by the powerful grip on her weapon's handle)[] We must find this bastard and stop him before it's too late for Eirenda. He wants to murder her... And her baby.	[BLUE](Grissenda está tan sorprendida y furiosa que apenas se contiene. Agarra su arma con tanta fuerza que sus nudillos se vuelven blancos)[] Debemos encontrar a ese bastardo y detenerle antes de que sea demasiado tarde para Eirenda. Quiere matarla... Y a su bebé.	13		
13	A	We will, we can't allow this to happen. Let's go.	Lo haremos, no podemos permitir esto. Vamos.	0		
