progress	description	description_ES	actions
0	Lost Prince	po	
10	The youngest son of the Queen of the Northern Kingdom, prince Vardy, disappeared during a hunt a few weeks ago and could not be found. But some forester saw the prince, I can find out where to look for this forester from sergeant Wintercalm in the Dream Valley.	po.	
20	I found out that the forester who had seen Prince Vardy could be found in the village near the southern wall of the Rigordion.	po.	
25	I found out that the forester who had seen prince Vardy could be found in the village near the southern wall of the Rigordion, and I also persuaded Sergeant Wintercalm to help me in the search.	po.	
30	The forester reported that he had seen Prince Vardy in the Dream Valley on a snowy plateau, but he did not know how to get there. Perhaps you can find out from the royal rangers, their camp is located in the Dream Valley.	po.	
35	The forester reported that he had seen Prince Vardy in the Dream Valley on a snowy plateau, but he did not know how to get there. Perhaps you can find out from the royal rangers, their camp is located in the Dream Valley.	po.	
40	The senior royal huntsman Hughinge knows how to get to the snowy plateau, but he will tell me this only if I bring him 6 merples.	po.	
50	The senior royal huntsman Hughinge informed me that you can get to the snowy plateau through caves, the entrance to which is located not far from it.	po.	
55	The senior royal huntsman Hughinge informed me that you can get to the snowy plateau through caves, the entrance to which is located not far from it.	po.	
60	On the snowy plateau, I found human remains that may belong to the prince Vardy, it is necessary to deliver them to the castle of Rigordion.	po.	
65	On the snowy plateau, I found human remains that may belong to the prince Vardy, it is necessary to deliver them to the castle of Rigordion.	po.	
100	I helped find the missing prince Vardy, captain Wintercalm rewarded me.	po.	
