progress	description	description_ES	actions
0	Skilled Hands	po	
10	Captain Bloodsilver asked me to release a kidnapped resident named Hermes, but I refused.	po.	
20	Captain Bloodsilver asked me to free a kidnapped resident named Hermes from the fortress of heavenly knights in the Hidden Plateau, I agreed to help.	po.	
30	I have freed Hermes, now he must be delivered to captain Bloodsilver in the settlement.	po.	
40	The man I freed before his death confessed that he was an impostor! The real Hermes is still needed in salvation.	po.	
50	I helped Hermes get to the settlement, but it turned out to be an impostor! Captain Bloodsilver still hopes that I will save the real Hermes.	po.	
60	I have freed Hermes, now he must be delivered to captain Bloodsilver in the settlement.	po.	
70	Hermes died while returning to the settlement, it is necessary to inform captain Bloodsilver about this.	po.	
80	Hermes suddenly turned into an uncontrollable monster! If it is not stopped, the inhabitants of the settlement may suffer or even die.	po.	
90	The monster that Hermes turned into had to kill so that the inhabitants of the settlement would not suffer.	po.	
100	I tried to save the inventor Hermes, but his captors conducted experiments on him, as a result of which he turned into an uncontrollable monster, and he had to be killed.	po.	
110	I tried to save the inventor Hermes, but he died.	po.	
