progress	description	description_ES	actions
0	Fatal Eggs	po	
10	A creature from other worlds told me about an ancient troll who has eggs endowed with strong magic, enough to break the seal, perhaps a magician familiar to Neville living in Solliga will tell details about this troll.	po.	
20	Before going in search of the ancient troll, Neville offered to get a weapon from his father in Whitetower.	po.	
30	Baldwin agreed to give me the enchanted knife if I brought him the head of a giant bear that lives in the forests of the Whitetower Valley.	po.	
35	Baldwin agreed to give me the enchanted knife if I brought him the head of a giant bear that lives in the forests of the Whitetower Valley.	po.	
40	I found and killed a huge bear, now I need to go back to Baldwin and give the head of the beast.	po.	
45	Neville offered to steal Baldwin's enchanted knife, and I agreed. I have to meet him at night behind his father's house.	po.	
50	I got an enchanted knife, now I need to go in search of an ancient troll in the Trollfens.	po.	
60	I was able to get the eggs of an ancient troll, now I need to return to the creature from other worlds.	po.	
70	I have to go back to the ancient troll and find the right eggs.	po.	
100	I found the magic eggs needed to destroy the seals.	po.	
