progress	description	description_ES	actions
0	Нечто большее	po	
10	Неизвестный шантажирует Сансу, мы должны встретиться с его посредником в Нью-Антуре.	po.	
15	Посредник сообщил, что шантажист находится в Соллиге, необходимо отправится туда и найти его.	po.	
20	Шантажист был кем-то убит, а подозрение в его убийство пало на нас! Санса предложила встретиться с знакомым ей магистром, который сможет нам помочь, в Нью-Гаранде.	po.	
25	Магистр сообщил о заговоре в Гильдии, и Санса стала одной из целью заговорщиков, необходимо допросить одного из подозреваемых по имени Грейтролл в Айсмите.	po.	
30	Грейтролл сбежал с помощью портала, я должен отправиться в след за ним в погоню.	po.	
35	Я телепортировался в неизвестное подземелье, теперь я должен добраться до Грейтролл.	po.	
40	Я должен доставить Грейтролла магистру в Нью-Гаранд.	po.	
50	Неизвестный шантажирует Сансу, я предложил обратиться за помощью к Персивалю, которого надо найти в Нью-Гаранде.	po.	
55	Перси согласился нам помочь, мы должны встретиться с посредником шантажиста в Нью-Антуре.	po.	
60	Посредник сообщил, что шантажист находится в Соллиге, необходимо отправится туда и найти его.	po.	
65	Перси выяснил, что шантажист убит, а в его убийстве должны были обвинить нас, также он приметил наблюдателя, необходимо его поймать, пока он не покинул город.	po.	
70	Наблюдатель сообщил, что работает на волшебника по имени Грейтролл, живущий в Айсмите, необходимо отправиться туда и допросить его.	po.	
75	Грейтролл сбежал с помощью портала, я должен отправиться в след за ним в погоню.	po.	
80	Я телепортировался в неизвестное подземелье, теперь я должен добраться до Грейтролл.	po.	
85	Я должен доставить Грейтролла магистру в Нью-Гаранд.	po.	
100	Я помог Сансе разобраться с шантажистом и разоблачить заговор в Гильдии волшебников.	po.	
