progress	description	description_ES	actions
0	Ограбление по-версальски	po	
10	Существо из иных миров рассказало мне о реликвии Уайтодов, наделенной сильной магией, достаточной чтоб разрушить печать, возможно, у Невилла есть друзья в Нью-Гаранде, которые могут помочь заполучить её.	po.	
15	Организатор ограблений Хью согласился помочь мне, я должен встретиться с ним в подвале в Предместьях Нью-Гаранда.	po.	
20	Я должен собрать команду для ограбления, сначала необходимо завербовать шпионку Анику Женнет в Нивариане.	po.	
25	Аника согласилась присоединиться к команде, если я заберу ключ у священника, который должен находиться ночью на берегу озера Нивар.	po.	
30	Я забрал ключ у священника, теперь я должен отдать его Анике.	po.	
35	Я должен собрать команду для ограбления, теперь необходимо освободить гладиатора Катасаха с арены во Фритауне.	po.	
37	Я одержал победу в бою, теперь необходимо поговорить с распорядителем, насчёт освобождения Катасаха.	po.	
40	Я должен собрать команду для ограбления, необходимо найти мага-взломщика в Айсмите.	po.	
45	Санса согласилась присоединиться к команде, если я разберусь с её бывшим, который находится в её доме.	po.	
50	Я должен собрать команду для ограбления, необходимо завербовать мага-иллюзиониста Мориса во Фригулде.	po.	
55	Морис согласился присоединиться к команде, если я спасу похищеную пиратами дочь купца Кэтрин, капитан Дорс сможет меня туда доставить.	po.	
60	Я освободил Кэтрин, теперь необходимо вместе с ней вернуться к Морису.	po.	
65	Я должен собрать команду для ограбления, необходимо завербовать кучера Доминика в Рёнайсе.	po.	
70	Доминик согласился присоединиться к команде, если я верну украденную у него лошадь, похититель, возможно, находится в Кингбридже.	po.	
75	Я забрал лошадь у вора, теперь необходимо вернуть её Доминику.	po.	
80	Я собрал всю команду для ограбления, теперь необходимо вернуться к Хью в Предместья Нью-Гаранда.	po.	
83	Вся команда в сборе, необходимо обсудить план ограбления и приступить к делу.	po.	
85	Мне необходимо добраться до особняка Уайтодов в Нью-Гаранде.	po.	
87	Мне необходимо добраться до хранилища Уайтодов, находящееся в подвале.	po.	
90	Мне необходимо найти ключ от магического барьера, чтобы попасть в хранилище Уайтодов.	po.	
93	Я нашёл ключ от магического барьера, теперь необходимо попасть в хранилище Уайтодов и забрать содержимое.	po.	
95	Мне необходимо покинуть особняк Уайтодов.	po.	
97	Мне необходимо добраться до Доминика, чтобы покинуть Нью-Гаранд с награбленным.	po.	
100	Я заполучил реликвию рода Уайтодов, необходимую чтобы уничтожить печати сдерживания.	po.	
