progress	description	description_ES	actions
0	Ненависть сквозь пространство и время	po	
10	Адаона убили! Волшебник Дженод один из подозреваемых, я должен найти его в Айсмите.	po.	
12	Адаона убили! Волшебник Дженод один из подозреваемых, я должен найти его в Соллиге.	po.	
15	Адаона убили! Волшебник Дженод один из подозреваемых, я должен найти его в Уайттауэре.	po.	
20	Я нашёл Дженода, необходимо с ним поговорить.	po.	
25	На Уайттауэр напали неизвестные маги! Я должен помочь с ними разобраться.	po.	
30	Я должен встретиться с Киарой в Либерти.	po.	
35	На нас снова напали неизвестные маги! Я должен с ними разобраться.	po.	
37	Мне необходимо поговорить с Киарой.	po.	
40	Мне необходимо отправится в Ламис, где я, возможно, найду информацию об убийцах Адаона.	po.	
42	Адаон жив! Но на нас в очередной раз напали неизвестные маги! Я должен с ними разобраться.	po.	
45	Я разобрался с напавшими, теперь необходимотю обсудить происходящее с Адаоном.	po.	
47	Мне необходимо поговорить с Адаоном.	po.	
50	Мне нужно вернуться к Киаре в Либерти.	po.	
52	Я попал в засаду неизвестных магов! Я должен с ними разобраться.	po.	
55	Я должен забрать тело двойника Адаона с кладбища в предместье Нью-Гаранда.	po.	
56	Необходимо найти и забрать тело двойника Адаона с кладбища в предместье Нью-Гаранда.	po.	
57	Мне необходимо встретиться с некроманткой Гвен в Мёртволесье.	po.	
58	Мне необходимо встретиться с некроманткой Гвен в Мёртволесье.	po.	
60	Я должен с разобраться с неизвестными магами, чтобы попасть в жилище Гвен.	po.	
62	Мне необходимо поговорить с некроманткой Гвен.	po.	
65	Я должен попасть в башню Бальтазара на юге реки Блюмист.	po.	
67	Я должен разобраться с Магистром.	po.	
70	Мне необходимо поговорить с Адаоном-учёным.	po.	
72	План Адаона-учёного не сработал, в мой мир проникла куча вариантов Адаона!	po.	
75	Магистр снова напал на нас!	po.	
77	Я должен разобраться с Магистром.	po.	
100	Я помог Адаону одолеть Магистра.	po.	
