progress	description	description_ES	actions
0	Размер имеет значение	po	
10	Босс Рикман подозревает, что Джонни обокрал склад банды, я согласился помочь его найти, необходимо поговорить с Винсом, чтобы узнать подробности.	po.	
15	Винс сообщил, что я смогу найти Джонни в какой-то общаге в Нью-Гаранде.	po.	
20	Я и Джонни должны помочь Винсу выиграть спор, необходимо узнать о дикой магии у вараннари в Ламисе.	po.	
25	Утинный Хвост согласился поведать о дикой магии, если я уничтожу зверолюдей, я смогу их найти ночью у горы Орогг.	po.	
26	Я убил одного из зверолюдей.	po.	
27	Я убил одного из зверолюдей.	po.	
28	Я убил одного из зверолюдей.	po.	
29	Я убил одного из зверолюдей.	po.	
30	Я убил всех зверолюдей, необходимо сообщить об этом Утинному Хвосту.	po.	
35	Утинный Хвост не сообщил чего-то полезного, теперь необходимо отправиться в Айсмист, где я найду человека босса Рикмана, который поможет нам.	po.	
37	Мне необходимо заплатить 50 тысяч монет или добыть сердце дракона, чтобы Джиджи помогла попасть к главарю группировки колдунов.	po.	
40	Мне необходимо добыть сердце дракона, чтобы Джиджи помогла попасть к главарю группировки колдунов.	po.	
42	Я добыл сердце дракона, необходимо вернуться к Джиджи, чтобы она помогла попасть к главарю группировки колдунов.	po.	
45	Джиджи привела меня к главарю группировки колдунов магистру Астутусу, необходимо договориться с ним о помощи в решении проблемы Винса.	po.	
47	Джиджи привела меня к главарю группировки колдунов магистру Астутусу, необходимо договориться с ним о помощи в решении проблемы Винса, но придётся заплатить ему 50 тысяч монет.	po.	
50	Джиджи привела меня к главарю группировки колдунов магистру Астутусу, необходимо договориться с ним о помощи в решении проблемы Винса, в обмен на сердце дракона.	po.	
52	Магистр Астутус согласился помочь мне, если я помогу ему заманить его врага Лексуса в подготовленную ловушку, я должен узнать у Серунуса о подробностях.	po.	
55	Мне необходимо поговорить с Лексусом, чтобы заманить его в подготовленную для него ловушку Астутуса.	po.	
57	Я привёл Лексуса и его людей в подготовленную для них ловушку Астутуса.	po.	
60	Я сообщил Лексусу о подготовленной для него ловушке и привёл туда его с отрядом по его просьбе.	po.	
62	Я должен помочь Астутусу разобраться с Лексусом.	po.	
65	Лексус устроил разборки с Астутусом, мне необходимо подождать, чтобы узнать как они закончатся.	po.	
67	Лексус мёртв, теперь необходимо поговорить с Астутусом, насчёт проблемы Винса.	po.	
70	Астутус мёртв, теперь необходимо поговорить с Лексусом, насчёт проблемы Винса.	po.	
72	Необходимо вернуться к Рикману, чтобы сообщить о найденном решении проблемы Винса.	po.	
75	Нужно найти Винса, он отправился в Фригульд к алхимику, возможно, там удасться что-нибудь узнать.	po.	
77	Винс отправился на Остров черепа, возможно, капитан Дорс поможет мне туда попасть.	po.	
80	Необходимо найти Винса на Острове черепа.	po.	
82	Мне не удалось найти Винса на Острове черепа, необходимо вернуться в Фригульд и ещё раз распросить о местонахождении Винса.	po.	
85	Необходимо вместе с Винсом вернуться к Рикману.	po.	
87	На дом Рикмана напала банда минотавров, нужно с ними разобраться.	po.	
90	Минотавры уничтожены, теперь нужно поговорить с Рикманом.	po.	
100	Я помог решить проблему Винса, хотя он в этом уже не нуждается.	po.	
130	Квест провален.	po.	
