progress	description	description_ES	actions
0	Дамский Угодник	po	
10	Невилл снова попал в неприятности, надо распросить его об этом.	po.	
20	Невилл ухаживает за дамой, у которой имеется диадема, наделенная сильной магией, достаточной чтоб разрушить печать, он хочет подарить ей редкие снежные цветы, растущие далеко на севере в горах Тхир, я должен их отыскать.	po.	
25	Старейшина горцев отдаст мне снежные цветы, если я убью чудовище, обитающее в пещере рядом с деревней.	po.	
30	Я убил чудовище, теперь необходимо сообщить об этом старейшине горцев.	po.	
35	Мне удалось получить снежные цветы, теперь необходимо доставить их Невиллу в Фритауне.	po.	
40	Я должен найти поэта Леорика и получить его стихи, возможно, поиски стоит начать в оазисе Сидарун.	po.	
45	Претор Дженард сообщил мне, что поэта последний раз видели на Болоте троллей, возможно, там я его смогу найти.	po.	
50	Мне удалось получить копию новых стихов поэта Леорика, теперь необходимо доставить их Невиллу в Фритауне.	po.	
55	Я должен встретится ночью в Фритауне с сообщником Невилла, который отведён меня к молодой госпоже, которую я должен устранить.	po.	
60	Я должен убить госпожу Пейпевидов.	po.	
62	Я должен убить госпожу Пейпевидов.	po.	
65	Я убил госпожу Пейпевидов, теперь необходимо сообщить об этом Невиллу.	po.	
70	На даму Невилла наложено лунное проклятие, я должен что-нибудь узнать об этом проклятии, и как его снять.	po.	
75	Санса сообщила мне о волшебнике-отшельнике, живущего в пещере в Белых равнинах, которому что-то известно о лунном проклятии, я должен его найти.	po.	
77	Я нашёл пещеру, в которой, возможно, живёт волшебнике-отшельнике, надо осмотреть пещеру, чтобы убедиться в этом.	po.	
80	Мне удалось узнать способ снятия лунного проклятия, теперь необходимо сообщить об этом Невиллу в Фритауне.	po.	
83	Я должен поговорить с дамой Невилла о проведении ритуала снятия с неё лунного проклятия.	po.	
85	Ритуала снятия лунного проклятия пошёл не по плану, необходимо одолеть чудовище, в которое превратилась госпожа Растхачет.	po.	
100	Я заполучил диадему рода Растхачет, необходимую чтобы уничтожить печати сдерживания.	po.	
