progress	description	description_ES	actions
0	Право и Правопорядок	po	
10	Супруга губернатора Фрипорта была обворована, и по его приказу город был брокирован. Возможно, я смогу помочь поймать преступников, для начала нужно пообщаться с претором Анваром.	po.	
15	Чтобы Макбул из Дома Семи, мог мне довериться, мне необходимо забрать для него у человека по имени Омар обговоренную вещь.	po.	
17	Омар согласился отдать товар Макбула, если я принесу ему 5000 монет.	po.	
18	Я забрал товар у Омара, теперь необходимо доставить его Макбулу.	po.	
20	Претор Анвар подозревает, что человек по имени Макбул является одним из воров, необходимо попытаться втереться в его доверие, чтоб узнать прав ли претор.	po.	
30	Чтобы Макбул мог мне довериться, мне необходимо забрать для него у человека по имени Омар обговоренную вещь.	po.	
35	Омар согласился отдать товар Макбула, если я принесу ему 5000 монет.	po.	
40	Я забрал товар у Омара, теперь необходимо доставить его Макбулу.	po.	
50	Боссу Макбула необходимо вынести из город какие-то вещи, вполне возможно украденные, я согласился им помочь, нужно встретиться с ним ночью.	po.	
55	Боссу Макбула необходимо вынести из город какие-то вещи, вполне возможно украденные, я согласился им помочь, нужно встретиться с ним ночью.	po.	
60	Я рассказал претору Анвару о планированом побеге возможных воров, он предложил присоединиться к ним, чтобы я смог завести воров в устроенную претором засаду.	po.	
70	Мне необходимо вывести Наила и его банду за город через канализацию.	po.	
80	Мне необходимо вывести Наила и его банду за город через канализацию, где его будет поджидать устроенная претором Анваром засада.	po.	
85	Наил сообщил мне адрес, где они спрятали украденные вещи, необходимо сообщить его претору Анвару.	po.	
87	Я присвоил себе украденные бандой Наила вещи, необходимо как-то вынести их из города или передать претору Анвару.	po.	
90	Наил и его банда попали в засаду претора Анвара, и мне надо как-то выжить!	po.	
95	Я помог претору Анвару поймать воров, теперь я должен вернуться в город за наградой.	po.	
100	Я помог Наилу и его банде вынести из Фрипорта украденные вещи, он щедро меня вознаградил.	po.	
110	Я помог вернуть украденные у супруги губернатора Фрипорта вещи, не выдав легионерам воров.	po.	
120	Я помог поймать воров, ограбивших супругу губернатора Фрипорта, и получил от него щедрую награду.	po.	
130	Я помог поймать воров, ограбивших супругу губернатора Фрипорта, и получил от него щедрую награду.	po.	
135	Я помог поймать воров, ограбивших супругу губернатора Фрипорта, и получил от него щедрую награду, но разозлил Дом Семи.	po.	
140	Я присвоил себе украденные бандой Наила вещи, но разозлил Дом Семи.	po.	
145	Я присвоил себе украденные бандой Наила вещи, но стал врагом легионеров Фрипорта.	po.	
150	Я присвоил себе украденные бандой Наила вещи, но стал врагом легионеров Фрипорта и разозлил Дом Семи.	po.	
