index	type	text_english	text_ES	Go To	conditions	actions
1,demonboss	Q	Where the hell did you hide that exterminator?! We're taking it! 	port.	0	"PlayerHasItem#10128;PlayerHasItem#10129"	"NPCDespawn#demon1;NPCSpawn#demon1;LoseItems#10128,20;LoseItems#10129,20"	
1,demonboss	Q	Where the hell did you hide that exterminator?! We're taking it! 	port.	0	"PlayerHasItem#10128"	"NPCDespawn#demon1;NPCSpawn#demon1;LoseItems#10128,20"	
1,demonboss	Q	Where the hell did you hide that exterminator?! We're taking it! 	port.	0	"PlayerHasItem#10129"	"NPCDespawn#demon1;NPCSpawn#demon1;LoseItems#10129,20"	
1	Q	Get the fuck out of here with your cheating guns! 	port.	0	"PlayerHasItem#10182"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Get the fuck out of here with your cheating guns! 	port.	0	"PlayerHasItem#10183"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Get the fuck out of here with your cheating guns! 	port.	0	"PlayerHasItem#10184"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Get the fuck out of here with your cheating guns! 	port.	0	"PlayerHasItem#10213"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Get the fuck out of here with your cheating guns! 	port.	0	"PlayerHasItem#10187"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Get the fuck out of here with your cheating guns! 	port.	0	"PlayerHasItem#10188"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Get the fuck out of here with your cheating guns! 	port.	0	"PlayerHasItem#10295"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1,demonboss	Q	Hey, what's going on, has he already left?! 	port.	0	"VariableEqual#demon_cheat,1"	"NPCDespawn#demon1;NPCSpawn#demon1"	
1,demonboss	Q	Hey, what's going on, has he already left?! 	port.	0			
