index	type	text_english	text_ES	Go To	conditions	actions	requisites
1	Q	This book holds the records of the Mausoleum Caretakers. It's heavily damaged and written in old Imperial. Maybe you can understand some passages.	 Este libro contiene el diario de los Cuidadores del Mausoleo. Está muy dañado y escrito en Antiguo Imperial. Quizá puedas entender algunos pasajes.	2			
2	A	Read it.	Leer.	3			
2	A	Leave.	Marcharme.	0			
3	Q	"...strange events. The dead are restless; the natives say the place is accursed. The Imperial Theurgists have found out that in ancient times, a mystical being called Tol cursed the whole Varannar, making the death ever restless. It is unknown if..."	...extraños sucesos. Los muertos se alzan, y los nativos dicen que esta tierra está maldita. Los Teurgistas Imperiales han investigado hasta averiguar que una entidad llamada Tol ha maldecido toda la isla de Varannar, despertando a los muertos. Si este ser está...	4			
4	A	Find another legible fragment.	Buscar otro fragmento legible.	5			
4	A	Enough reading.	suficiente lectura.	0			
5	Q	... Safe now. The rituals daily performed by our Imperial theurgists have finally contained the curse, and the dead no longer trouble us. But if something...	... A salvo. Los rituales que hacen cada día los Teurgistas Imperiales han anulado la maldición, y los muertos ya no despiertan. Si algo...	6			
6	A	Find another legible fragment.	Buscar otro fragmento legible.	7			
6	A	Enough reading.	suficiente lectura.	0			
7	Q	"... Nobody knows what is happening in Andoria, but tales are terrifying. Whole cities destroyed and thousands dead; no wonder the new Theurgists never came. Now the dead wake up and we can't stop them, but as our Oath commands, we must remain in the Mausoleum. May the Eleven..."	"...Nadie sabe lo que ha ocurrido en Andoria pero los relatos son escalofriantes: Ciudades arrasadas, regiones enteras destruidas; es normal que los nuevos Teurgistas no hayan venido. Ahora ya no podemos detener a los muertos, pero nuestro juramento nos impide marcharnos. Que los Once..."	0			
