index	type	text	text_ES	Go To	conditions	actions	
1	Q	[BLUE](You are not sure if this is a ghost or an illusion, but the man in front of you seems to be made of green light)[]. I have nothing to tell you, intruder.	[BLUE](No estás seguro de si es un fantasma o una ilusión, pero el hombre frente a ti parece hecho de luz verde)[]. No tengo nada que decirte, intruso.	0	"VariableGreater#ark_lothasan,80;VariableLower#ark_lothasan,100"		
1	Q	"[BLUE](You are not sure if this is a ghost or an illusion, but the man in front of you seems to be made of green light. However the image is faint and immobile; the machine next to him seems to lack proper energy)[]. "	[BLUE](No estás seguro de si es un fantasma o una ilusión, pero el hombre frente a ti parece hecho de luz verde. La imagen es casi invisible y está inmóbil. La máquina que está en frente parece necesitar energía.)[]. 	2	VariableLower#ark_lothasan,50		
1	Q	"Greetings again. Please don't waste time and reactivate the emergency reactor; it is large and yellow, and you can find it two levels below this one."	Saludos de nuevo. Por favor no tardes en activar el Reactor de Emergencia. Es grande y amarillo, y se encuentra dos niveles por debajo de este.	0	VariableEqual#ark_lothasan,50		
1	Q	I can feel the energy pumping through my subsystems... Perfectly done, adventurer.	Puedo sentir la energía fluyendo por mis sistemas secundarios... Bien hecho, aventurero.	30	VariableEqual#ark_lothasan,60		
1	Q	"I advise you caution as you approach the intruders; they might decide to cross the Wormhole if they feel threatened."	"Te recomiendo cautela al acercarte a los intrusos; si perciben una amenaza, podrían cruzar la Puerta."	40	"VariableGreater#ark_lothasan,60;VariableLower#ark_lothasan,80"		
1	Q	You get no response.	No recibes respuesta.	0			
2	A	Hmmm... Not much I can do here.	Hmmm... No puedo hacer mucho.	0			
2	A	Try to somehow attach an Ancient Battery into the device.	Intentar conectar una Antigua Batería al artefacto de algún modo.	3	PlayerHasItem#1022		
2	A	Try to connect a Large Battery to this machine.	Intentar conectar una Batería Grande a la máquina.	4	PlayerHasItem#1023	LoseItem#1023	
3	Q	[BLUE](The socket is too large, maybe you need a larger battery)[].	[BLUE](El hueco es demasiado grande, quizá necesitas una batería mayor)[]. 	0			
4	Q	[BLUE](As soon as you attach the battery, the man seems to come to life. He looks at you and bows slightly)[]. Finally I am operative again after 1,121 years. Thank you.	[BLUE](Cuando conectas la batería el hombre parece volver a la vida. Te saluda con una reverencia)[]. Por fín vuelvo a estar operativo 1,121 años después. Gracias.	5			
5	A	Who are you?	¿Quién eres?	6			
6	Q	Oracle System (version 4.8) in control of this ship as second-in-command to Admiral Lothasan. Now the question is, who are you and why are you here.	Sistema Oráculo (versión 4.8), segundo al mando a las ordenes del Almirante Lothasan. La pregunta es quién eres tú y qué haces aquí.	7			
7	A	I am an adventurer. There are some villains here that plan to open a very dangerous Magical Gate that would completely destroy what remains of the ship.	Soy un aventurero. Hay unos malvados en esta nave que quieren activar una Puerta Mágica que podría destruir lo que queda de esta nave.	8			
8	Q	"Yes, I feel a very strange perturbation...a Wormhole inside the ship! It is shocking how these primitive intruders have done such a feat; it indeed has the potential to destroy the ship."	Sí, siento una extraña perturbación... ¡un Agujero de Gusanos dentro de la nave! Es sorprendente que estos intrusos primitivos hayan conseguido hacer algo así. Efectivamente podría destruir la nave y a mí mismo.	9			
9	A	What, they already did it?!? Then everything is lost. They must have entered the Gate already, and the Horrors will come.	¿Qué? ¿Ya lo han hecho? Entonces todo se ha perdido. Deben haberla cruzado y los Horrores están al llegar.	10			
10	Q	You mean a [GREEN]DIMENSIONAL PARASITE[]? I guess 'Horror' would be a fitting name, but I am surprised you know about that. They can easily destroy the ship, and nothing in a primitive world such as this could withstand it. Luckily, no one has crossed through the Wormhole yet.	Si te refieres a un [GREEN]PARÁSITO DIMENSIONAL[], tienes razón al llamarles así aunque me extraña que los conozcas. Uno de ellos podría destruir esta nave, y arrasar un mundo primitivo como este. Por suerte nadie ha cruzado todavía.	11			
11	A	They haven't? Odd. I need to get there fast!	¿No han cruzado? Que raro. ¡Necesito llegar allí rápido!	12			
12	Q	The intruders seem to be at the Command Bridge of the ship, next to the Wormhole... Arguing and debating. There is tension between them. Some sleep, others perform routine tasks in nearby rooms. Looks like we have some time.	Los intrusos parecen están en el Puente de Mando de la nave, cerca del Agujero... Y debatiendo. Hay tensión entre ellos. Otros duermen o realizan tareas rutinarias en habitaciones cercanas. Parece que aun hay tiempo.	13			
13	A	You called it 'Wormhole', do you know more about it? Maybe a way to destroy it?	Has llamado a la puerta 'Agujero de Gusano', ¿sabes más de ella?¿Quizá cómo cerrarla o destruirla?	14			
