tag	english	spanish	RU	PT	DE	PL	CZ	TK	IT	FR
LOADING	Loading... please wait...	Cargando... 	Загрузка...	Carregando... Aguarde...	Lädt... Bitte warten...	Wczytywanie... proszę czekać...	Načítá se... prosím počkejte...	Yükleniyor	Caricamento... Attendi...	
SAVING	Saving... please wait...	Guardando... 	Сохранение...	Salvando... Aguarde...	Speichert... Bitte warten...	Zapisywanie... proszę czekać	Ukládá se... prosím počkejte...	Kaydediliyor	Salvataggio...Attendi...	
EXIT	Exit	Salir	Выход	Sair	Beenden	Wyjście	Konec	Çıkış	Esci	
START_NEW_GAME	Start New Game	Nuevo Juego	Начать новую игру	Novo Jogo	Neues Spiel	Nową grę	Začít novou hru	Yeni Oyun	Nuovo Gioco	
CONTINUE_GAME	Continue Game	Continuar Juego	Продолжить игру	Continuar Jogo	Spiel fortsetzen	Kontynuuj grę	Pokračovat ve hře	Devam Et	Continua Gioco	
LIBRARY	The Library	La Biblioteca	Библиотека	Biblioteca	Bibliothek	Biblioteka	Knihovna	Kütüphane	La Biblioteca	
STORE	Store	Tienda	Магазин	Loja	Kaufen	Sklep	Obchod	Mağaza	Negozio	
CREDITS	Credits	Créditos	Благодарности	Créditos	Mitwirkende	Twórcy	O hře	Katkı Sağlayanlar	Crediti	
CREATED_BY	Created by	Creado por	Создано	Criado por	Entwickelt von	Gra autorstwa	Vytvořil	Geliştirici	Creato da	
GAME	Game	Juego	Игра	Jogo	Spiel	Gra	Hra	Oyun	Gioco	
SETTINGS	Settings	Opciones	Настройки	Opções	Einstellungen	Ustawienia	Nastavení	Seçenekler	Impostazioni	
YES	Yes	Sí	Да	Sim	Ja	Tak	Ano	Evet	Sì	
NO	No	No	Нет	Não	Nein	Nie	Ne	Hayır	No	
HOW_MANY_UNITS	How many units?	¿Cuántas unidades?	Сколько единиц?	Quantas unidades?	Wie viele Einheiten?	Jak wiele jednostek?	Kolik kusů?	Kaç adet?	Quante unità?	
VAULT	Vault	Depósito	Ячейка	Cofre	Tresor	Skarbiec	Trezor	Kasa	Deposito	
VAULT_TITLE	Vaults	Depósitos	Ячейки	Cofres	Tresore	Skarbce	Trezory	Kasalar	Depositi	
EMPTY	Empty	Vacío	Пусто	Vazio	Leer	Brak zapisu	Prázdný	Boş	Vuoto	
CONTINUE_PLAYING	Continue playing	Continua jugando	Продолжить игру	Continuar jogando	Fortsetzen	Kontynuuj rozgrywkę	Pokračuj v hraní	Oyuna devam et	Continua a giocare	
CHOOSE_GAME	Choose a game	Escoge un juego	Выберите игру	Escolha um jogo	Wähle ein Spiel	Wybierz zapis	Vyber hru	Oyun seç	Scegli un gioco	
CHOOSE_SAVE_SLOT	Choose where to save your game	Escoge dónde guardar el juego	Выберите место для сохранения	Escolha onde salvar seu jogo	Wähle einen Speicherplatz	Wybierz miejsce zapisu gry	Vyber kam uložit hru	Oyun kayıt yeri seç	Scegli dove salvare il gioco	
CHOOSE_LOAD_SLOT	Choose a game to load	Escoge qué juego quieres cargar	Выберите игру для загрузки	Escolha um jogo para carregar	Wähle einen Spielstand	Wybierz zapis do wczytania	Vyber hru k načtení	Yüklenecek oyun seç	Scegli un gioco da caricare	
AUTOSAVE	Autosave	Auto guar.	Автосохранение	Salv. Automático	Autospeich.	Auto zapis	Automatické uložení	Oto kayıt	AutoSalvataggio	
QUICKSAVE	Quicksave	Guar. rápido	Быстрое сохранение	Salv. Rápido	Schnellspeich.	Szybki zapis	Rychlé uložení	Hızlı kayıt	Salvataggio Rapido	
DAY	Day	Día	День	Dia	Tag	Dzień	Den	Gün	Giorno	
CANCEL	Cancel	Cancelar	Отмена	Cancelar	Abbrechen	Anuluj	Zrušit	İptal	Cancella	
START_GAME	Start game	Comenzar	Начать игру	Começar Jogo	Spiel starten	Rozpocznij grę	Začít hru	Oyuna başla	Inizia il gioco	
CREATE_YOUR_HERO	Create your hero	Crea tu héroe	Создай своего героя	Crie seu herói	Erstelle deinen Helden	Stwórz postać	Vytvoř si hrdinu	Karakter oluştur	Crea il tuo eroe	
NAME	Name	Nombre	Имя	Nome	Name	Imię	Jméno	İsim	Nome	
