tag	english	spanish	RU	PT	DE	PL	CZ	TR	IT	FR
TREMADAN_IMAGE	Tremadan's Image	Imágen de Tremadan	Образ Тремадана	Imagem de Tremadan	Tremadans Bild	Obraz Tremadana	Tremadanuv zjev	Tremadan'in Yansimasi	Immagine diTremadan	
BOUNCER_TILGAR	Bouncer Tilgar	Portero Tilgar	Привратник Тилгар	Guardião Tilgar	Türsteher Tilgar	Straznik Tilgar	Portýr Tilgar	Fedai Tilgar	Buttafuori Tilgar	
BOUNCER_MASORA	Bouncer Masora	Portera Masora	Привратник Масора	Guardião Masora	Türsteherin Masora	Straznik Masora	Portýr Masora	Fedai Masora	Buttafuori Masora	
SERGEANT_RAKKUS	Sergeant Rakkus	Sargento Rakkus	Сержант Раккус	Sargento Rakkus	Sergeant Rakkus	Sierzant Rakkus	Seržant Rakkus	Çavuş Rakkus	Sergente Rakkus	
SERGEANT_TOEL	Sergeant Toel	Sargento Toel	Сержант Тоэл	Sargento Toel	Sergeant Toel	Sierzant Toel	Seržant Toel	Çavuş Toel	Sergente Toel	
SERGEANT_DAUKAR	Sergeant Daukar	Sargento Daukar	Сержант Даукар	Sargento Daukar	Sergeant Daukar	Sierzant Daukar	Seržant Daukar	Çavuş Daukar	Sergente Daukar	
ARKADOS	Arkados the Blind	Arkados el Ciego	Аркадос Слепой	Arkados o Cego	Arkados der Blinde	Arkados Slepy	Arkados Slepý	Âmâ Arkados	Arkados il Cieco	
NIRUH	Niruh	Niruh	Нирух	Niruh	Niruh	Niruh	Niruh	Niruh	Niruh	
GRETA	Greta	Greta	Грета	Greta	Greta	Greta	Greta	Greta	Greta	
ALCHEMIST_NIISA	Alchemist Niisa	Alquimista Niisa	Алхимик Ниса	Alquimista Niisa	Alchemistin Niisa	Alchemik Niisa	Alchymistka Niisa	Simyager Niisa	Alchimista Niisa	
ALCHEMIST_DOREA	Alchemist Dorea	Alquimista Dorea	Алхимик Дорея	Alquimista Dorea	Alchemistin Dorea	Alchemik Dorea	Alchymistka Dorea	Simyager Dorea	Alchimista Dorea	
BOATMAN_TIOM	Boatman Tiom	Barquero Tiom	Лодочник Тиом	Barqueiro Tiom	Bootsmann Tiom	Przewoznik Tiom	Převozník Tiom	Kayıkçı Tiom	Barcaiolo Tiom	
TRADER_SARMA	Trader Sarma	Comerciante Sarma	Торговец Сарма	Comerciante Sarma	Händler Sarma	Handlarz Sarma	Obchodník Sarma	Tüccar Sarma	Mercante Sarma	
ARMORER_DORMA	Armorer Dorma	Herrero Dorma	Бронник Дорма	Armeira Dorma	Waffenschmied Dorma	Platnerz Dorma	Zbrojarka Dorma	Zırhçı Dorma	Armaiolo Dorma	
WEAPONSMITH_LOE	Weaponsmith Lóe	Herrero Lóe	Кузнец Лоэ	Ferreiro Lóe	Waffenschmied Lóe	Miecznik Lóe	Zbrojář Lóe	Silahtar Lóe 	Armaiolo Lóe	
ROLGAM	Rolgam	Rolgam	Ролгам	Rolgam	Rolgam	Rolgam	Rolgam	Rolgam	Rolgam	
TRIBUNE_GELEB	Tribune Geleb	Tribuno Geleb	Трибун Гелеб	Tribuno Geleb	Tribun Geleb	Trybun Geleb	Tribun Geleb	Subay Geleb	Tribuno Geleb	
PRAETOR_RONGAE	Praetor Rongae	Praetor Rongae	Претор Ронгае	Praetor Rongae	Prätor Rongae	Pretor Rongae	Praetor Rongae	Kumandan Rongae	Pretore Rongae	
BOATMAN_NOREAD	Boatman Noread	Barquero Noread	Лодочник Норид	Barqueiro Noread	Bootsmann Noread	Przewoznik Noread	Převozník Noread	Kayıkçı Noread	Barcaiolo Noread	
TRADER_LIRDI	Trader Lirdi	comerciante Lirdi	Торговец Лирди	Comerciante Lirdi	Händlerin Lirdi	Handlarz Lirdi	Obchodník Lirdi	Tüccar Lirdi	Mercante Lird	
LADY_LEANNA	Lady Leanna	Lady Leanna	Леди Лианна	Lady Leanna	Lady Leanna	Lady Leanna	Lady Leanna	Leydi Leanna	Lady Leanna	
BROTHER_MIRTO	Brother Mirto	Hermano Mirto	Брат Мирто	Irmão Mirto	Bruder Mirto	Brat Mirto	Bratr Mirto	Birader Mirto	Fratello Mirto	
GOVERNOR_DAZLAN	Governor D'Azlan	Gobernador D'Azlan	Губернатор Д'Азлан	Governador D'Azlan	Gouverneur D'Azlan	Rzadca D'Azlan	Guvernér D'Azlan	Vali D'Azlan	Governatore D'Azlan	
BISHOP_ARANDIR	Bishop Arandir	Obispo Arandir	Епископ Арандир	Bispo Arandir	Bischof Arandir	Biskup Arandir	Biskup Arandir	Piskopos Arandir 	Vescovo Arandir	
ALCHEMIST_VLAZA	Alchemist Vlaza	Alquimnista Vlaza	Алхимик Влаза	Alquimista Vlaza	Alchemistin Vlaza	Alchemik Vlaza	Alchymista Vlaza	Simyager Vlaza	Alchimista Vlaza	
SISTER_MARIE	Sister Marie	Hermana Marie	Сестра Мари	Irmã Marie	Schwester Marie	Siostra Marie	Sestra Marie	Şıfî Marie	Sorella Marie	
TROLL_COOK	Troll Cook	Cocinero Troll	Тролль Повар	Troll Cozinheiro	Troll-Koch	Troll Kucharz	Trolský kuchař	Trol Aşçı 	Cuoco Troll	
