index	type	text_english	text_ES	Go To	conditions	actions	requisites
1,glunk	Q	[BLUE](Two giants have set up camp here, and between them you see a young man pinned down, too terrified to even react. The giants notice you and stand)[] Oooh itz another puny! Where dey come from Brogg? Hole in znow?	[BLUE](Dos gigantes han acampado aquí, y entre ellos ves a un joven en el suelo, aterrorizado. Los gigantes te ven y se levantan)[]¡Ooooh mira, ez otro enanitooo! De ande zalen Brogg, ¿ de un bujero en la nieve?	2	VariableEqual#lost_good_book,30	SetVariable#lost_good_book,40	
1	Q	Foodz! Our foodzbag! Puny is gud puny. Now take puny-pet with you but pleaz be gud to pet and no nibblin' even if it zmellz deliziuz.	Comida! Nueztra borzacomida! Ahora mazcota ez tuyo pero cuidalo bien! No lo muerdaz aunque pareze delizioso...	20	PlayerHasItem#2610	"LoseItem#2610;GainXP#700;SetVariable#lost_good_book,70;NPCSpawn#free_sulidar;NPCDespawn#sulidar"	
1	Q	We hungree. HUNGREEEE!!!	Tenemoz hambre. ¡¡¡HAMBREEEE!!!	0			
2,brogg	Q	Ssssh Glunk shutzup! Diz puny haz pointy zing. Bad puny. We crunch diz puny and eat.	¡Sssh Glunk calla! Ezte enanito tiene un pincho. Enanito malo. Aplaztamoz y comemoz.	3			
3,glunk	Q	Arrrrgh! We hatez pointy zingz! [BLUE](The enormous creature begins to grow excited, but then it calms down with a pained expression)[] But Brogg, remember, we gud, we not crunch little puniez anymore. We left hillz to be gud.	Arrrrgh! Odiamoz pinchoz! [BLUE](La enorme criatura se empieza a agitar, pero de pronto se calma con una expresión de angustia)[] Pero Brogg ¡ahora nozotroz buenoz, no aplaztamoz!  Dejamos colinaz y ahora buenoz.	4			
4	A	I come in peace. That kid there is all I want, then I'll leave.	Vengo en son de paz. Sólo quiero llevarme a ese joven, y me marcharé.	5			
4	A	You don't need to worry about any moral dilemmas, monsters. I'll make things clear for you. [BLUE](Attack them)[].	No tenéis que preocuparos por dilemas morales, os lo voy a poner fácil. [BLUE](Atacarles)[]	50			
5	Q	No! Puny iz pet now. We keep pet. We no eatz pet, we so HUNGREE but we gud we no eatz!	¡No! Enanito ez mazcota. Nozotroz no comer enanito, nozotroz mucha HAMBRE pero nozotroz buenoz. 	6			
6,brogg	Q	Maybez. Maybez we nibble at it. But a little. So HUNGREE!	Pero... Pero puede que lo mordizqueamoz un poquito... Tanta HAMBRE!	7			
7,glunk	Q	No Brogg! Remember: gud! [BLUE](You can see how the giants are looking at the man with hunger-crazed eyes. They try to resist, but...)[]	¡No Brogg! ¡Recuerda: zer buenoz![BLUE](Ves que miran a Sulidar con ojos enloquecidos por el hambre. Intentan resistirse, pero...)[]	8			
8,brogg	Q	Juzt little nibblez on de sidez, no chewin or anyzing.	Zolo mordizquitoz por fuera, zin mazticar...	9			
9,glunk	Q	No! We no nibble.	¡No! No mordizquitoz.	10			
10	A	I see you are trying, but I can't trust you. I am afraid I must destroy you to save his life.	Veo que lo estáis intentando, pero no puedo fiarme. Tengo que destruiros para salvar su vida.	50			
10	A	What if you eat something else instead? ... Wait, maybe I shouldn't have said that.	¿Y si os coméis otra cosa? ... Un momento, no debería haber dicho eso.	11			
11	Q	We hadz! We work hardz to have BIG bag with fruitz'n nutz for winter. But we loztz it. Dey got it!	¡Teniamoz! Trabajamoz para guardar fruta y nueces para invierno en un zaco GRANDE. Pero... ¡perdido!	12			
12,brogg	Q	Little puniez, tinly little evil puniez took out sack. We HUNGREE now.	Enanitoz chiquititoz maloz de cuevaz. Ladronez. Nozotroz HAMBRE ahora.	13			
13	A	Little evil critters got your supplies then? If I bring it back, you'll let your...'pet' go? And no nibbling until then?	¿Pequeñas criaturas malignas os robaron la comida? Si la traigo, ¿dejaréis marchar a vuestra 'mascota'? ¿Y sin 'mordisquitos'?	14			
13	A	I see. But I can't just wander away and leave him with you two. You'll devour him before I return. Time to die.		50			
14,glunk	Q	No nibblez. We gud. You gud puny too. We wait you brinz uz foodz! Then you take pet-puny to pet-puny land with hiz little friendz.	No mordizquitoz. Nozotroz buenoz. ¡Tú bueno! Traer nueztra comida, y dejamoz marchar mazcota-enanito para que juegue con otroz enanitoz.	15			
15	A	We have a deal. I'll be back soon.	Tenemos un trato. Volveré pronto.	0		SetVariable#lost_good_book,43	
20	A	Sure, don't worry, I already had lunch. Good luck.	Claro, no te preocupes, ya he comido. Buena suerte.	0			
50	Q	We wantz to be gud but... We HUNGREEEEE!	Queremoz zer buenoz pero... Tener HAMBREEEE!!!!	0		"NPCHostile#brogg;NPCHostile#glunk;SetVariable#lost_good_book,50;NPCSpawn#free_sulidar;NPCDespawn#sulidar"	
