progress	description	description_ES	actions
0	Human Resources	Recursos Humanos	
10	I met some mercian bounty hunters camped in East Inori. Their leader Jarbad has asked me to break into the encampment of some criminals they're after. For now, I declined his offer.	He encontrado a unos canzarrecompensas mercios en Inori Este. Su lider Jarbad me ha pedido que ataque el campamento de unos criminales, pero por el momento no he aceptado.	
15	I agreed to storm the Varannari criminals' camp in East Inori. Jarbad insisted on killing their leader called Steel Thunder.	He aceptado arrasar el campamento de los criminales Varannari en Inori Este. Jarbad insiste en que acabe con su lider llamada Trueno de Acero.	
20	The mercians in East Inori are slavers, and the Varannari their prey. I agreed to help them for a cut of their profit. Jarbad insisted on killing their leader called Steel Thunder.	Los mercios de Inori Este son en realidad esclavistas, y los Varannari son su presa. He aceptado ayudarles a cambio de parte de sus beneficios. Jarbad insiste en que mate a su lider, llamada Trueno de Acero.	
30	I decided to fight the mercians camped in East Inori.	He decidido luchar con los mercios acampados en Inori Este	
40	The Varannari in East Inori claim they're not criminals, and the mercians after them are not bounty hunters, but slavers.	Los Varannari de Inori Este dicen que no son criminales, y que los mercios no son cazarrecompensas sino traficantes de esclavos.	
50	I confronted the Varannari leader Steel Thunder in East Inori, and now I must defeat her!	¡Me he enfrentado con la lider Varannari Trueno de Acero, y ahora debo derrotarla!	
70	I killed Steel Thunder and I should claim my reward to Jarbad in East Inori.	He matado a Trueno de Acero, los Varannari están indefensos. Debería reclamar mi recompensa a Jarbad en Inori Este.	
80	I killed Jarbad the Slaver, now Steel thunder and the other Varannari will be free to go.	He matado a Jarbad el traficante de esclavos, ahora Trueno de Acero y los otros Varannari pueden marcharse.	
100	I defeated the Varannari in East Inori and was rewarded for it.	Vencí a los Varannari de Inori Este y fuí recmpensado por ello.	
120	I killed Jarbad and helped the Varannari in East Inori.	Maté a Jarbad y ayudé a los Varannari de Inori Este.	
