progress	description	description_ES	actions
0	Path of the Deer	La Senda del Ciervo	
10	I met the Father of All Clans, Laughing Deer. He is an old man that seems to be asleep, or in trance, in Elder forest.	Me reuní con el Padre de Todos los Clanes, Ciervo Sonriente. Es un viejo sabio que está meditando, o dormido, en el Bosque Anciano.	
20	I visited the Spirit World and talked to Laughing Deer.	Visité el Mundo de los Espíritus y hablé con Ciervo Sonriente.	
30	I visited the Spirit World and talked to Laughing Deer. He wants me to retrieve an item with the mark of the Deer. The hero which owned that item fell in distant land, battling a dragon.	Visité el Mundo de los Espíritus y hablé con Ciervo Sonriente. Me encargó encontrar un objeto con la marca del ciervo, de un heroe que pereció luchando contra un dragón.	
40	I delivered the sword to Laughing Deer; he revealed to me it belonged to his brother. I must now submerge it into the Dark Pool in the Witches' Coven. 	Entregué la espada a Ciervo Sonriente, y me reveló que perteneció a su hermano. Debo sumergirla en el estanque oscuro del Aquelarre de las Brujas.	
50	I found the secret hideout inside Witches' Coven. A guardian is blocking my way to the Dark Pool, I must destroy it.	Encontré el escondite en el Aquelarre de las Brujas. Debo derrotar al Guardián para poder llegar al Estanque Oscuro.	
60	I defeated the Guardian. I must now submerge the sword into the Dark Pool in the Witches' Coven. 	Vencí al guardián. Ahora debo sumergir la espada en el Estanque Oscuro del Aquelarre de las Brujas.	
90	I cleansed the Dark Pool, forever weakening the witches' power to create Nightmares.	Purifiqué el Estanque Oscuro, debilitando para siempre el poder de las brujas de crear Pesadillas.	
100	I cleansed the Dark Pool, forever weakening the witches' power to create Nightmares. Laughing Deer thanked me.	Purifiqué el Estanque Oscuro, debilitando para siempre el poder de las brujas de crear Pesadillas. Ciervo Sonriente me lo agradeció.	
110	I cleansed the Dark Pool, forever weakening the witches' power to create Nightmares. Laughing Deer rewarded me by blessing his brother's blade.	Purifiqué el Estanque Oscuro, debilitando para siempre el poder de las brujas de crear Pesadillas. Ciervo Sonriente me recompensó bendeciendo la espada de su hermano para mí.	
