progress	description	description_ES	actions
0	Become the Champion!	¡Ser el Campeón!	
10	I signed up to become the champion of the Freetown Arena. I have yet to fight my first opponent, but fame and fortune await me.	Me he inscrito hoy como gladiador en la Gran Arena de Freetown. Todavía no he luchado pero estoy impaciente.	
20	I won my first fight, another opponent awaits me.	He ganado mi primera pelea, mi próximo oponente espera.	
30	I won my second fight, another opponent awaits me.	He ganado mi segunda pelea, mi próximo oponente espera.	
40	I won my third fight, another opponent awaits me.	He ganado mi tercera pelea, mi próximo oponente espera.	
50	I won my fourth fight, another opponent awaits me.	He ganado mi cuarta pelea, mi próximo oponente espera.	
60	I won my fifth fight, another opponent awaits me.	He ganado mi quinta pelea, mi próximo oponente espera.	
70	I won my sixth fight, another opponent awaits me.	He ganado mi sexta pelea, mi próximo oponente espera.	
80	I won my seventh fight, another opponent awaits me.	He ganado mi séptima pelea, mi próximo oponente espera.	
90	The final Arena battle awaits me!	¡Me espera la última batalla en la Arena!	
100	I became the champion of the Freetown Arena.	Me convertí en el campeón de la Arena de Freetown.	
