index	type	text_english	text_ES	Go To	conditions	actions
1	Q	Time for me to return with this thing... My boat is hidden between the rocks. Give me a day to recover and then meet me at the stage, my friend. [BLUE](He runs to the rocks by the water)[]	Hora de regresar con esta cosa... Mi barco está escondido entre esas rocas. Dame un día para recuperarme, y después visítame en el escenario, amigo.  [BLUE](Corre hacia unas rocas que hay cerca del agua)[]	0	VariableEqual#world_stage,70	NPCDespawn#laertes
1	Q	Fight!	¡Lucha!	0	VariableEqual#world_stage,55	
1	Q	No time to talk!	¡No hay tiempo de hablar!	0	VariableEqual#world_stage,60	
1	Q	[BLUE](The young and handsome man salutes)[] Welcome to this sumptuous island, my friend. I admit I did not expect mainlanders here. I would assume this is no chance meeting, am I right?	[BLUE](el bello joven sonríe y te saluda)[] Bienvenido a esta suntuosa isla, amigo. Admito que no esperaba a gente del continente aquí. Debo suponer que no es un encuentro casual, ¿cierto?	2		
2	A	"No, not chance; Cordelia asked me to find you... But what in the name of The Three are you doing here?"	"No, no es casualidad; Cordelia me ha enviado a buscarte... Pero en el nombre de Los Tres, ¿¡que demonios haces aquí?!"	3		
2	A	I am here to challenge you in a duel to the death.	Estoy aquí para desafiarte a un duelo a muerte.	10		
3	Q	"I suppose I can tell you. I came to seize a Manticore armored carcass; being scaled, I suppose the rot will not affect the outside. With a little work, it could be made into a realistic two-person Manticore costume for the stage! And it would look exactly like a Manticore. Imagine their faces..."	"Supongo que te lo puedo decir. Vine a por un cadáver de Mantícore; al ser una piel de escamas, no se habrá podrido, y ¡se podría convertir en un disfraz para dos personas, para el escenario! Sería exáctamente igual que una Mantícore real, ¡imagina la reacción del público!"	4		
4	A	That is crazy. But I admit it is a great idea.	Eso es una locura. Pero admito que es una gran idea.	5		
5	Q	Yes but... the irony! the world is, truly, a stage. In the play, Sir Rudolph pretends to be a hero, and plans to go to the cave of an already-dead Manticore, to return with its head as a prize. But he finds a living monster, which he has to defeat. And here...	Pero ¡ah, la ironía! el mundo es un escenario. En la obra, sir Rudolph quiere que le crean un héroe y planea ir a la cueva de una Mantícore muerta, para cortar su cabeza y mostrarla como trofeo. Y se encuentra con una Mantícore viva. Y cuando llegué aquí...	6		
6	A	Oh please don't tell me there is a living Manticore here. 	Oh por favor... No me digas que hay una Mantícore viva.	7		
7	Q	There is a small Manticore, not an adult yet. And luckily, it seems like its sting is still not grown, so we don't have to fear its deadly poison. I was ready to attack the beast when you arrived.	Hay una pequeña Mantícore, aun no es un adulto. Y por suerte, aun no le ha crecido el aguijón por lo que su letal veneno no será un problema. Me disponía a atacar cuando llegaste.	8		
8	A	Are you sure about that? Because I've heard, unless you have the antidote...	¿Estás seguro de eso? Porque he oido que, si no tienes el antídoto...	9		
9	Q	Let's just find out, shall we? Follow me if you wish. [BLUE](He laughs and marches onwards)[]	Vamos a averiguarlo, ¿Te parece? Sígueme si quieres. [BLUE](Se ríe y marcha hacia delante)[]	0		"NPCGoTo#laertes,1;SetVariable#world_stage,60"
10	Q	I bet that old fart Polonius sent you... But I am glad. This makes it a much better story! Don't worry when you die, I will make you immortal when I write the next play. I am ready!	Apuesto a que ese vejestorio de Polonius te ha enviado. Pero me alegro, ¡ahora es una historia mucho mejor! No te preocupes cuando mueras, cuando escriba mi próxima obra, te inmortalizaré.	0		"NPCHostile#laertes;SetVariable#world_stage,55"
