index	type	text	text_ES	Go To	conditions	actions	
1	Q	We don't want to have anything to do with foreigners. Please leave.	No queremos saber nada de extranjeros. Por favor vete.	2	VariableLower#pig_wife,70		
1	Q	Please don't tell the truth to my husband!	¡Por favor no le digas la verdad a mi marido!	0	VariableEqual#pig_wife,70		
1	Q	You are back! Did you fool my husband?	¡Has vuelto! ¿engañaste a mi marido?	10	VariableEqual#pig_wife,80		
1	Q	My boys! Protect me, he's trying to abduct me!	¡Chicos, protegedme, me quiere raptar!	0	"VariableEqual#pig_wife,85;NPCinArea#woodsman"		
1	Q	You killed them, monster! [BLUE](Sobs)[] This was all my fault for making them fight. You win, I'll go back home. I have nowhere else to go. Now leave me gather my things alone.	¡Les has matado, monstruo! [BLUE](Llora)[]. Es culpa mía por hacerles luchar. Tú ganas, ya no tengo dónde ir y volveré a casa. Ahora déjame recoger mis cosas en paz.	0	VariableEqual#pig_wife,85	SetVariable#pig_wife,90	
1	Q	I'll be back home soon.	Volveré a casa pronto.	0	VariableEqual#pig_wife,90		
1	Q	You are back! Did you fool my husband?	¡Has vuelto! ¿engañaste a mi marido?	25	VariableEqual#pig_wife,95		
1	Q	You are back! Did you fool my husband?	¡Has vuelto! ¿engañaste a mi marido?	30	VariableEqual#pig_wife,120		
1	Q	Goodbye.	Adiós.	0			
2	A	Alright, goodbye.	Muy bien, adiós.	0			
2	A	Hello, Rosy. Good to see you survived the icy river.	Hola Rosy. Me alegra ver que sobreviviste al río helado.	3	VariableEqual#pig_wife,50		
3	Q	[BLUE](She pales)[] Please don't tell my husband!	[BLUE](Palidece)[] ¡Por favor no se lo digas a mi marido!	4		SetVariable#pig_wife,70	
4	A	Tell me what's going on here. Do you fear him?	Dime qué está pasando aquí. ¿Le tienes miedo?	5			
