index	type	text_english	text_ES	Go To	conditions	actions	
1	Q	Traveller, if I may speak with you for a moment... [BLUE](He looks left and right, making sure no one is close)[]. I believe you are the one being hunted by the Forsaken. Beware, for you're now closer to them than you suspect. Do not trust anyone in Icemist!	Aventurero, me gustaría hablar un instante... [BLUE](Mira a derecha e izquierda, asegurándose de que no hay nadie cerca)[]. Creo que eres el que persiguen los Olvidados. Cuidado, porque están más cerca de lo que piensas. ¡No confíes en nadie en Icemist!	2	VariableLower#IM_trap,1	SetVariable#IM_trap,1	
1	Q	Finally, you have come.	Por fin has venido.	10	VariableEqual#IM_trap,1		
2	A	Who are you?	¿Quién eres tú?	3			
3	Q	I am Dorphis Greyrune. My family is one of the oldest lineages in Icemist, with a long tradition in spellcrafting that goes back to the Empire days. I am also a sworn enemy of the Forsaken, and willing to help you.	Soy Dorphis Greyrune. Mi familia es una de las más antiguas en Icemist, y tenemos una gran tradición mágica que viene de los días del Imperio. También soy enemigo de los Olvidados, y estoy dispuesto a ayudarte.	4			
4	A	How do I know that I can trust you? And how exactly can you help me?	¿Cómo puedes ayudarme? Y ¿Cómo sé que puedo confiar en tí?	5			
5	Q	"I will provide you detailed information about the Forsaken and the Magister, as well as their major agents. And I'll ask nothing in return; all I hope is you avenge my dead son and destroy that cult of madmen."	Te daré información detallada sobre los Olvidados y el Maestro, también sus principales agentes. Y no quiero nada a cambio, excepto pedirte que vengues la muerte de mi hijo y acabes con esos locos fanáticos.	6			
6	A	Alright, tell me everything you know.	Muy bien, dime todo lo que sabes.	7			
7	Q	"Not here. Come to my manor and we'll discuss all these matters at large. I might also provide you with free lodging while you are in town. My house is in the southern sector; my family's sigil makes the door easy to recognize. Now goodbye, it's not a good idea to walk together. [BLUE](He leaves)[]"	Aquí no. Ven a mi mansión y hablaremos tranquilamente. También te ofreceré alojamiento mientras estés en la ciudad. Mi casa está en el distrito sur, puedes distinguir la puerta porque lleva el símbolo de mi familia. Ahora me marcho, no es buena idea que nos vean juntos. [BLUE](Se va, caminando)[]	0		NPCDespawn#IM_greyrune	
10	A	Now you can tell me all you know about the Forsaken.	Ahora puedes decirme lo que sabes de los Olvidados.	11			
10	A	[BLUE](Move slightly away from the runes in the floor, as you suspect a trap)[] Tell me what you know.	[BLUE](Apartarse ligeramente de las runas del suelo, ya que sospechas que son una trampa)[] Dime lo que sabes.	12			AWA#3
11	Q	[BLUE](You feel a surge of intense cold freezing your feet and legs, as well as mind-blowing pain. The magical runes on the ground are a trap. The man laughs)[] This is going to be easier than expected. The Magister will be delighted. 	[BLUE](Un frío intenso congela tus pies y piernas, produciendo gran dolor. Las runas mágicas del suelo son una trampa. El hombre se rie)[] Esto va a ser más fácil de lo esperado. El Maestro estará satisfecho.	15		LoseHPCold#100	
12	Q	[BLUE](You feel a surge of intense cold coming from the magical runes on the ground. You were ready to jump and dodge most of the effect. The man frowns)[] This is going to be interesting. Let's see what you're made of, spawn of Tremadan.	[BLUE](Un frío intenso surge de las runas mágicas del suelo. Estabas preparado y esquivas buena parte del efecto)[] Esto va a ser interesante. Veamos de qué estás hecho, descendiente de Tremadan.	15		LoseHPCold#40	
15	A	Very well, traitor. Let's do this.	Muy bien, traidor. Luchemos.	20			
20	Q	Golems, attack!	¡Golems, atacad!	0		"NPCHostile#golems;NPCHostile#IM_greyrune;SetVariable#IM_trap,2"	
