index	type	text	text_ES	Go To	conditions	actions	
1	Q	[BLUE](The aged warrior salutes martially)[] Finally. It took you long enough to arrive.	[BLUE](El guerrero veterano te saluda militarmente)[]. Por fin. Te ha costado bastante llegar hasta aquí.	2			
2	A	[BLUE](Be on your guard)[] And who are you?	[BLUE](Ponerte en guardia)[] ¿Quién eres tú?	3			
2	A	Greetings, sir. You may be mistaking me for someone else, I'm an explorer trying to find a way towards the Dragon Mountains and their reputed riches. 	Saludos, señor. Seguramente me confundís con otro, yo soy un explorador que intenta encontrar un paso hacia las Montañas del Dragón.	4			
3	Q	Relax, I'm not going to jump on you. I'm Sir Valeran D'aer. The Magister asked me to take my best men and come here to ambush you. But as you see, I am not doing that.	Relájate, no voy a saltar sobre tí. Soy Sir Valeran D'aer. El Maestro me pidió traer a mis mejores hombres y venir aquí a tenderte una trampa. Pero como vés, no voy a hacer eso.	5			
4	Q	Disgusting... a liar and a coward. How fitting for the spawn of Tremadan, the most lowly worm to ever wander this putrid human world. I had hoped to find some trace of honesty, but now my only satisfaction will be your death.	Asqueroso... Un mentiroso y un cobarde. Digno descendiente de Tremadan, el más repugnante gusano que ha habitado en este pútrido mundo humano. Había esperado encontrar algún rastro de honestidad, pero mi única satisfacción será tu muerte.	100			
5	A	You are a member of the Forsaken, then.  Why didn't you obey your orders and try to kill me?	Eres un miembro de los Olvidados, entonces. ¿Por qué has desobedecido tus órdenes de matarme?	6			
5	A	I don't talk with Forsaken, I kill them.	No hablo con Olvidados, les mato.	100			
6	Q	Oh, worry not, you will still die today. But I am no bandit nor robber. As a Thuramian Arcane Knight and I am bound by honor, even to cowardly worms and pathetic traitor spawns like you. We'll fight cleanly, and the Magister can keep his usual stealthy tricks to himself.	Oh, no te preocupes, voy a matarte. Pero no soy un bandido ni un criminal. Como Caballero Arcano de Thuram sigo un código de honor, incluso respecto gusanos cobardes y estirpe de traidores como tú. Lucharemos limpiamente, y el Maestro se puede quedar con sus trucos y subterfugios.	7			
7	A	Hey, I am the one that gets to throw witty insults at villains! Now die, Forsaken.	Hey, ¡Soy yo el que lanza insultos ingeniosos a los vilanos! Ahora muere, Olvidado.	100			
7	A	Bound by honor! Yet you are going to destroy humanity, killing every Thuramian, including women and children. Very  honorable. Are you going to offer them a fair fight as well?	¡Código de honor! Sin embargo vais a destruir a la humanidad, matando a todos los Thuramios incluyendo mujeres y niños. ¿A ellos no les vas a ofrecer una lucha justa?	8			PER#3
7	A	Wait, I just want to talk to the Magister.	Espera, sólo quiero hablar con el Maestro. No es necesario que luchemos. He descubierto quien soy hace poco.	20			
8	Q	You waste your lies on me. The Magister has explained us the Horrors are not coming this time, he perfected the ritual. And if they do, I am sure the Kingdoms can defend themselves.	Malgastas tus mentiras conmigo. El Maestro nos ha explicado que los Horrores no vendrán esta vez, ha perfeccionado el ritual. Si lo hacen, estoy seguro de que los Reinos podrán defenderse.	9			
9	A	You're just a fool in denial, not a knight. I will stop you.	Eres un estúpido que se engaña, no eres un caballero. Voy a deteneros.	100			
9	A	The Empire couldn't resist, but the Kingdoms will? That makes no sense.	¿El imperio no pudo resistir, pero los Reinos sí? Eso no tiene sentido.	10			
