index	type	text_english	text_ES	Go To	conditions	actions
1	Q	Ahoy landlubber, what ye want from Cap'n Dorse?	Lombriz de tierra a la vista. ¿Qué quieres del Capitán Dorse?	2		
2	A	Greetings. I seek passage out of Friguld.	Saludos. Busco pasaje para salir de Friguld.	5		
2	A	I'm trying to get to certain ruins, somewhere in the shores of Inori. Do you know how to get there? 	Intento llegar a unas ruinas en la costa de Inori, ¿Puedes llevarme allí?	30	VariableGreater#mangled_god,10	
2	A	What do you know about the Ashen Cape?	¿Qué sabes sobre el Cabo de Cenizas?	8	VariableEqual#ark_lothasan,20	
2	A	I want you to take me south again, to the Dragon Coast. I need to go to the Ashen Cape.	Quiero que me lleves a la Costa del Dragón hacia el sur. Necesito llegar al Cabo de Cenizas.	40	VariableGreater#ark_lothasan,20	
2	A	Now anyone owning a rowboat is a 'Captain'?	¿Ahora todo el que tiene un bote de remos es un 'Capitán'?	3		
2	A	I need to go.	Me tengo que marchar.	0		
3	Q	Watch yer tongue ye bilge rat! May the feces of a thousand monkees fall in your babbling mouth if yer goin' to open it for such foolery! Cap'n Dorse is one of the few that sailed his ship around Ashen Cape. In my day I've plundered the Mercian ports, ye ignorant!	¡Sujeta esa lengua, rata de agua dulce! Que las heces de mil monos te llenen la boca si la vas a abrir para decir mamarrachadas. El Capitán Dorse es uno de los pocos que puede doblar el Cabo de Cenizas. ¡En mis tiempos he saqueado los puertos de Mercia, ignorante!	4		
4	A	What is the Ashen Cape?	¿Qué es el Cabo de Cenizas?	8		
4	A	Where is your ship now?	¿Dónde está tu barco?	15		
4	A	I wonder if you've heard of the bandit called the Snake.	Me pregunto si sabes algo acerca de un bandido llamado Serpiente.	20	VariableGreater#snake_gang,0	
4	A	Sorry to have bothered you. Goodbye.	Perdona por molestar. Adiós.	0		
5	Q	Ye in a haste, eh? Can be arranged. [BLUE]150 gold[] could take ye to New Garand docks.	¿Tienes prisa, no? Se puede hacer. [BLUE]150 monedas[] pueden llevarte a los muelles de New Garand.	6		SetVariable#transport_friguld,1
