index	type	text_english	text_ES	Go To	conditions	actions
1	Q	I don't have any more assignments for you		0	"VariableGreater#orkben,99;VariableGreater#gurd,99;VariableGreater#omon,13"		
1	Q	Did you come? Where's the head?		37	VariableEqual#orkben,90	
1	Q	How is our orc's health?		27	"VariableGreater#orkben,9;VariableLower#orkben,101"	
1	Q	How's it going with Gurd? What did you find out?		26	VariableEqual#omon,13	
1	Q	[BLUE](The thief seems quite calm)[] Hey! Are you making such a fuss? Why did you come here and kill my comrades?		2		
2	A	Rumour has it you can help solve the problem...		4	VariableEqual#sem1,1	
2	A	I'm here to clean up this rat hole. And you're the biggest, fattest rat in here!		3	VariableEqual#sem1,1	
2	A	Why don't you attack me like all these thugs?		40		
2	A	No no. Nothing. I'm leaving now.		0		
3	Q	You talk too much! [BLUE](The thief makes a lightning-fast dagger stab to your side)[]		0		"LoseHP#100;NPCHostile#semen"
4	Q	Problem problems...Solving any problem has a price. If you're willing to pay the price, we'll make a deal.		5		
5	A	I would like to know the price first?		6		
6	Q	I'd like to know what your problem is!		7		
7	A	I had a bit of a misunderstanding with [BLUE]A special unit[] The New Garand guards. And they still have my thing. I want to get my thing back while this unit is still in Kingsbridge...But I don't know where they are.		8		
8	Q	[BLUE](The robber thought hard)[] So they're here for you? Sneaking around, making money. I happen to know where the temporary headquarters is located. But quid pro quo! You know what I mean.		9		
9	A	I see...and what kind of "Service" are you interested in?		10		
10	Q	There's this man Gurd. He's been doing some business of his own lately. Cutting off all contact with us, looking for bodyguards. I want to know what he's up to. Find out and I'll help you.		11		
11	A	Gurd's not up to anything anymore. I killed him... He wanted to supply weapons to the Orcs.		12	VariableEqual#gurd,110	
11	A	Gurd has decided to start supplying weapons to the Orcs. And the first shipment has already been made		13	"VariableGreater#gurd,90;VariableLower#gurd,110"	
11	A	Gurd has decided to start supplying weapons to the Orcs. And hired me to make the first delivery of weapons. 		14	VariableGreater#gurd,11	
11	A	Hmm. This honourable man works with you? Well, I'll find out what he's up to.		15		SetVariable#omon,13
12	Q	Killed? That's also a solution to the problem, even if we have to find a new supplier. The temporary headquarters for your special unit is located in the local holding cell. Our guys have long scouted a route through the natural pacers. I'll give you the route and you'll be on your way.[BLUE](Tells me)[]		0		SetVariable#omon,14
13	Q	Good work. I take it this first delivery was not without your help?		16		
14	Q	Wow! Fine tell me, do you still have the gun?		32		
15	Q	Honourable? Heh-heh-heh, he's a bastard! He's our breed. As soon as you find out anything, come and see me.		0		
16	A	Yes, I personally took these weapons to the Orc camp. You promised you'd tell me how to find Squad Headquarters!		17		
