tag	english	spanish	RU	PT	DE	PL	CZ	TR	IT	FR
TREMADAN_IMAGE	Tremadan's Image	Imágen de Tremadan	Образ Тремадана	Imagem de Tremadan	Tremadans Bild	Obraz Tremadana	Tremadanův zjev	Tremadan'ın Yansıması	Immagine diTremadan	
BOUNCER_TILGAR	Bouncer Tilgar	Portero Tilgar	Привратник Тилгар	Guardião Tilgar	Türsteher Tilgar	Strażnik Tilgar	Portýr Tilgar	Fedai Tilgar	Buttafuori Tilgar	
BOUNCER_MASORA	Bouncer Masora	Portera Masora	Привратник Мазора	Guardião Masora	Türsteherin Masora	Strażnik Masora	Portýr Masora	Fedai Masora	Buttafuori Masora	
SERGEANT_RAKKUS	Sergeant Rakkus	Sargento Rakkus	Сержант Раккус	Sargento Rakkus	Sergeant Rakkus	Sierżant Rakkus	Seržant Rakkus	Çavuş Rakkus	Sergente Rakkus	
SERGEANT_TOEL	Sergeant Toel	Sargento Toel	Сержант Тоэл	Sargento Toel	Sergeant Toel	Sierżant Toel	Seržant Toel	Çavuş Toel	Sergente Toel	
SERGEANT_DAUKAR	Sergeant Daukar	Sargento Daukar	Сержант Даукар	Sargento Daukar	Sergeant Daukar	Sierżant Daukar	Seržant Daukar	Çavuş Daukar	Sergente Daukar	
ARKADOS	Arkados the Blind	Arkados el Ciego	Слепец Аркадос	Arkados o Cego	Arkados der Blinde	Arkados Ślepy	Arkados Slepý	Âmâ Arkados	Arkados il Cieco	
NIRUH	Niruh	Niruh	Ниру	Niruh	Niruh	Niruh	Niruh	Niruh	Niruh	
GRETA	Greta	Greta	Грета	Greta	Greta	Greta	Greta	Greta	Greta	
ALCHEMIST_NIISA	Alchemist Niisa	Alquimista Niisa	Алхимик Нийса	Alquimista Niisa	Alchemistin Niisa	Alchemik Niisa	Alchymistka Niisa	Simyager Niisa	Alchimista Niisa	
ALCHEMIST_DOREA	Alchemist Dorea	Alquimista Dorea	Алхимик Дория	Alquimista Dorea	Alchemistin Dorea	Alchemik Dorea	Alchymistka Dorea	Simyager Dorea	Alchimista Dorea	
BOATMAN_TIOM	Boatman Tiom	Barquero Tiom	Лодочник Тиом	Barqueiro Tiom	Bootsmann Tiom	Przewoźnik Tiom	Převozník Tiom	Kayıkçı Tiom	Barcaiolo Tiom	
TRADER_SARMA	Trader Sarma	Comerciante Sarma	Торговка Сарма	Comerciante Sarma	Händler Sarma	Handlarz Sarma	Obchodník Sarma	Tüccar Sarma	Mercante Sarma	
ARMORER_DORMA	Armorer Dorma	Herrero Dorma	Оружейник Дорма	Armeira Dorma	Waffenschmied Dorma	Płatnerz Dorma	Zbrojařka Dorma	Zırhçı Dorma	Armaiolo Dorma	
WEAPONSMITH_LOE	Weaponsmith Löe	Herrero Löe	Кузнец Лоэ	Ferreiro Löe	Waffenschmied Löe	Miecznik Löe	Zbrojář Löe	Silahtar Löe 	Armaiolo Löe	
ROLGAM	Rolgam	Rolgam	Ролгам	Rolgam	Rolgam	Rolgam	Rolgam	Rolgam	Rolgam	
TRIBUNE_GELEB	Tribune Geleb	Tribuno Geleb	Трибун Гелеб	Tribuno Geleb	Tribun Geleb	Trybun Geleb	Tribun Geleb	Subay Geleb	Tribuno Geleb	
PRAETOR_RONGAE	Praetor Rongae	Praetor Rongae	Претор Ронгай	Praetor Rongae	Prätor Rongae	Pretor Rongae	Praetor Rongae	Kumandan Rongae	Pretore Rongae	
BOATMAN_NOREAD	Boatman Noread	Barquero Noread	Лодочник Нореад	Barqueiro Noread	Bootsmann Noread	Przewoźnik Noread	Převozník Noread	Kayıkçı Noread	Barcaiolo Noread	
TRADER_LIRDI	Trader Lirdi	comerciante Lirdi	Торговец Лирди	Comerciante Lirdi	Händlerin Lirdi	Handlarz Lirdi	Obchodník Lirdi	Tüccar Lirdi	Mercante Lird	
LADY_LEANNA	Lady Leanna	Lady Leanna	Леди Леанна	Lady Leanna	Lady Leanna	Lady Leanna	Lady Leanna	Leydi Leanna	Lady Leanna	
BROTHER_MIRTO	Brother Mirto	Hermano Mirto	Брат Мирто	Irmão Mirto	Bruder Mirto	Brat Mirto	Bratr Mirto	Birader Mirto	Fratello Mirto	
GOVERNOR_DAZLAN	Governor D'Azlan	Gobernador D'Azlan	Губернатор Д'Азлан	Governador D'Azlan	Gouverneur D'Azlan	Rządca D'Azlan	Guvernér D'Azlan	Vali D'Azlan	Governatore D'Azlan	
BISHOP_ARANDIR	Bishop Arandir	Obispo Arandir	Епископ Арандир	Bispo Arandir	Bischof Arandir	Biskup Arandir	Biskup Arandir	Piskopos Arandir 	Vescovo Arandir	
ALCHEMIST_VLAZA	Alchemist Vlaza	Alquimnista Vlaza	Алхимик Влаза	Alquimista Vlaza	Alchemistin Vlaza	Alchemik Vlaza	Alchymista Vlaza	Simyager Vlaza	Alchimista Vlaza	
SISTER_MARIE	Sister Marie	Hermana Marie	Сестра Мария	Irmã Marie	Schwester Marie	Siostra Marie	Sestra Marie	Sûfi Marie	Sorella Marie	
TROLL_COOK	Troll Cook	Cocinero Troll	Тролль Повар	Troll Cozinheiro	Troll-Koch	Troll Kucharz	Trolský kuchař	Trol Aşçı 	Cuoco Troll	
GIRL	Girl	Chica	Девочка	Menina	Mädchen	Dziewczyna	Dívka	Kız	Ragazza	
GUARDIAN_GOLEM	Guardian Golem	Golem Guardián	Голем Страж	Golem Guardião	Wächtergolem	Golem Obrońca	Strážní golem	Golem Muhafız 	Golem Guardiano	
KINGSBRIDGE_INN	The Bridge's Maiden	La Doncella del Puente	Дева Моста	A Donzela da Ponte	Zur Brückenschönheit	Pod panną z mostu	U Mostecké Dívky	Köprü Bakiresi	La Fanciulla del Ponte	
LANNEGAR_INN	The Sagar Rest	El Descanso de Sagar	Сагарский Привал	O Descanso de Sagar	Gasthaus im Sagar	Sagarski Sen	Sagarské Odpočívadlo	Sagar Yuvası	Il Riposo di Sagar	
JABAL_INN	The Rusty Blade	La Espada Oxidada	Ржавый Тесак	A Espada Enferrujada	Zur Rostigen Klinge	Karczma „rdzawe ostrze”	U Rezavé Břitvy	Paslı Kılıç 	La Spada Rugginosa	
RHONEIS_INN	The Plentiful Plate	El Plato Abundante	Роскошное Блюдо	O Prato Farto	Zur Üppigen Tafel	Karczma „pełny półmisek”	U Bohatého Talíře	Bol Kepçe 	Il Piatto Abbondante	
FOGAS_INN	The Last Fire	El Último Fuego	Последний Костёр	O Último Fogo	Zum Letzten Feuer	Pod ostatnim ogniem	U Posledního Ohně	Son Ateş 	L'ultimo Fuoco	
SYDARUN_INN	The Singing Well	El Pozo que Canta	Поющий Колодец	O Poço que Canta	Zum Singenden Brunnen	Pod śpiewającą studnią	U Zpívající Studny	Şarkı Kuyusu	Il Pozzo Canterino	
NEWANTHUR_INN	Seafarers' Pub	La Taberna del Navegante	Таверна Моряков	A Taverna do Navegante	Seefahrerkneipe	Żeglarska karczma	Námořnická hospoda	Denizci Barı	La Taverna del Navigante	
NG_INN	The Imperial Inn	La Posada Imperial	Имперский Приют	A Pousada Imperial	Kaiserliches Gasthaus	Królewska gospoda	Imperiální hospoda	İmparatorluk Hanı 	La Locanda Imperiale	
NG_INN2	The Green Knight	El Caballero Verde	Зелёный Рыцарь	O Cavaleiro Verde	Zum Grünen Ritter	Pod zielonym rycerzem	U Zeleného Rytíře	Yeşil Şövalye 	Il Cavaliere Verde	
FT_INN	The Generous King	El Rey Generoso	Щедрый Король	O Rei Generoso	Zum Großzügigen König	Pod hojnym królem	U Štědrého Krále	Cömert Kral	Il Re Generoso	
FT_INN2	The Valiant King	El Rey Valiente	Славный Король	O Rei Valente	Zum Tapferen König	Pod chrobrym królem	U Chrabrého Rytíře	Cesur Kral	Il Re Valoroso	
NI_INN	The Sleeping Lady	La Dama Durmiente	Спящая Дева	A Dama Adormecida	Zur Schlafenden Dame	Śpiąca królewna	U Spící Dámy	Uyuyan Leydi	La Dama Addormentata	
NI_INN2	The Holy Symbol	El Símbolo Sagrado	Святой Знак	O Símbolo Sagrado	Zum Heiligen Symbol	Pod świętym symbolem	U Svatého Symbolu	Kutsal Simge	Il Simbolo Sacro	
WEAPONSMITH_DOGUS	Weaponsmith Dogus	Herrero Dogus	Кузнец Догус	Ferreiro Dogus	Waffenschmied Dogus	Miecznik Dogus	Zbrojíř Dogus	Silahtar Dogus	Armaiolo Dogus	
CHANCELLOR_NEBROS	Chancellor Nebros	Canciller Nebros	Канцлер Неброс	Chanceler Nebros	Kanzler Nebros	Kanclerz Nebros	Kancléř Nebros	Sadrazam Nebros	Cancelliere Nebros	
BROTHER_JANUS	Brother Janus	Hermano Janus	Брат Ян	Irmão Janus	Bruder Janus	Brat Janus	Bratr Janus	Birader Janus	Fratello Janus	
SISTER_ARTA	Sister Arta	Hermana Arta	Сестра Арта	Irmã Arta	Schwester Arta	Siostra Arta	Sestra Arta	Sûfi Arta	Sorella Arta	
BROTHER_GUDAZAR	Brother Gudazar	Hermano Gudazar	Брат Гудазар	Irmão Gudazar	Bruder Gudazar	Brat Gudazar	Bratr Gudazar	Birader Gudazar	Fratello Gudazar	
SISTER_REMME	Sister Remme	Hermana Remme	Сестра Ремме	Irmã Remme	Schwester Remme	Siostra Remme	Sestra Remme	Sûfi Remme	Sorella Remme	
SISTER_MADA	Sister Mada	Hermana Mada	Сестра Мада	Irmã Mada	Schwester Mada	Siostra Mada	Sestra Mada	Sûfi Mada	Sorella Mada	
BROTHER_GABRIEL	Brother Gabriel	Hermano Gabriel	Брат Габриэль	Irmão Gabriel	Bruder Gabriel	Brat Gabriel	Bratr Gabriel	Birader Gabriel 	Fratello Gabriel	
