item_ID	name	description	name_ES	description_ES	name_RU	desc_RU	name_PT	desc_PT	name_DE	desc_DE	name_PL	desc_PL	name_CZ	desc_CZ	name_TR	desc_TR	name_IT	desc_IT
100	Leather Cuirass	Not the best armor in the world, but hey, it's cheap.	Peto de cuero	No es la mejor armadura del mundo pero... es barata.	Кожаная кираса	Не лучшая броня в мире, но чего ты хотел за такую цену.	Peitoral de Couro	Não é a melhor armadura do mundo... mas é barata.	Lederkürass	Nicht die beste Rüstung der Welt... aber billig.	Skórzany kirys	Nie najlepszy pancerz na świecie, ale hej, jest tani!	Kožený kyrys	Není to nejlepší zbroj na světě, ale levná!	Deri Göğüslük	Dünyadaki en iyi zırh değil ama en azından ucuz.	Corazza di cuoio	Non proprio la migliore armatura, ma... è economica
101	Leather Leggings	Good idea to protect yourself from the waist down. That's where goblins hit.	Grebas de cuero	Buena idea protegerse de cintura para abajo. Es donde pegan los goblins.	Кожаный килт	Защитить то, что ниже пояса - хорошая идея. Туда и бьют гоблины..	Calça de Couro	Boa ideia se proteger abaixo da cintura. É onde os goblins acertam.	Lederhose	Gute Idee, dich von der Hüfte abwärts zu schützen. Dort beißen Goblins am liebsten.	Skórzane nogawice	Dobrze chronią wszystko od pasa w dół. Tam biją gobliny.	Kožené kamaše	Dobrý nápad, chránit se od pasu dolů. Tam totiž útočí skřeti.	Deri Bacak Zırhı	Belden aşağını korumak için iyi bir fikir. Goblinler oraya vurur.	Gambali di cuoio	Una buona idea proteggersi dalla vita in giù. E' dove colpiscono i goblin.
102	Leather Bracers	Makes you look like a badass.	Brazales de cuero	Te hace parecer duro.	Кожаные наручи	Сделают тебя похожим на хулигана.	Braceletes de Couro	Te faz parecer durão.	Lederarmschiene	Lässt dich wie einen harten Kerl aussehen.	Skórzane karwasze	Wyglądasz w nich jak wymiatacz.	Kožené nátepníky	Vypadáš s nimi jako drsňák.	Deri Ayakkabı	Seni sert bir çocuk gibi gösterir.	Bracciali di cuoio	Ti fanno sembrare un duro.
103	Leather Boots	Stylish! Tall leather boots are always in.	Botas de cuero	¡Estilo! Las botas altas de cuero siempre están de moda.	Кожаные сапоги	Стильно! Высокие кожаные сапоги всегда в тренде.	Botas de Couro	Estiloso! Botas de couro de cano alto estão sempre na moda.	Lederstiefel	Elegant! Hohe Lederstiefel sind immer in Mode.	Skórzane buty	Stylowo! Wysokie skórzane buty są zawsze w modzie.	Kožené boty	Stylové! Vysoké kožené boty jsou vždy IN.	Deri Çizme	Şık! Uzun deri çizmeler her zaman kabul görür.	Stivali di cuoio	Stilosi! Gli stivali in cuoio sono sempre di moda.
104	Leather Cap	It makes your head look fat.	Casco de cuero	Hace que tu cabeza parezca gorda.	Кожаный шлем	Твоя голова будет выглядеть крупнее.	Capacete de Couro	Faz sua cabeça parecer gorda.	Lederkappe	Lässt deinen Kopf fett aussehen.	Skórzana czapka	Twoja głowa wygląda w niej grubo.	Kožená čepice	Tvá hlava v ní vypadá tlustě.	Deri Balık	Kafanı kocaman gösterir.	Cappuccio di cuoio	Ti fa sembrare la testa grassa.
105	Hardened Leather Cuirass	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Peto de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	Кираса из дублёной кожи	Вываренная, дублёная кожа. Конечно, защита замечательная, но пахнет забавно.	Peitoral de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärteter Lederkürass	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocniony skórzany kirys	Gotowana, wzmocniona skóra. To świetna ochrona, ale teraz dziwnie pachnie.	Tvrzený kožený kyrys	Vařená, tvrzená kůže. Je to skvělá ochrana, ale divně zapáchá.	Sertleştirilmiş Deri Göğüslük	Kaynatılarak sertleştirilmiş deri. İyi koruma sağladığına şüphe yok ama komik kokuyor.	Corazza di cuoio rinforzato.	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.
106	Hardened Leather Leggings	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Grebas de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	Поножи из дублёной кожи	Вываренная, дублёная кожа. Конечно, защита замечательная, но пахнет забавно.	Calça de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärtete Lederhose	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocnione skórzane nogawice	Gotowana, wzmocniona skóra. To świetna ochrona, ale teraz dziwnie pachnie.	Tvrzené kožené kamaše	Vařená, tvrzená kůže. Je to skvělá ochrana, ale divně zapáchá.	Sertleştirilmiş Deri Bacak Zırhı	Kaynatılarak sertleştirilmiş deri. İyi koruma sağladığına şüphe yok ama komik kokuyor.	Gambali di cuoio rinforzato	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.
107	Hardened Leather Gauntlets	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Brazales de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	Перчатки из дублёной кожи	Вываренная, дублёная кожа. Конечно, защита замечательная, но пахнет забавно.	Braceletes de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärtete Lederhandschuhe	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocnione skórzane rękawice	Gotowana, wzmocniona skóra. To świetna ochrona, ale teraz dziwnie pachnie.	Tvrzené kožené rukavice	Vařená, tvrzená kůže. Je to skvělá ochrana, ale divně zapáchá.	Sertleştirilmiş Deri Eldiven	Kaynatılarak sertleştirilmiş deri. İyi koruma sağladığına şüphe yok ama komik kokuyor.	Guanti di cuoio rinforzato	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.
108	Hardened Leather Boots	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Botas de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	Сапоги из дублёной кожи	Вываренная, дублёная кожа. Конечно, защита замечательная, но пахнет забавно.	Botas de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärtete Lederstiefel	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocnione skórzane buty	Gotowana, wzmocniona skóra. To świetna ochrona, ale teraz dziwnie pachnie.	Tvrzené kožené boty	Vařená, tvrzená kůže. Je to skvělá ochrana, ale divně zapáchá.	Sertleştirilmiş Deri Çizme	Kaynatılarak sertleştirilmiş deri. İyi koruma sağladığına şüphe yok ama komik kokuyor.	Stivali di cuoio rinforzato.	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.
109	Hardened Leather Cap	Boiled, hardened leather. Sure it's great protection, but it smells funny.	Casco de cuero endurecido	Cuero cocido y endurecido, ligero y resistente. Pero huele raro.	Шлем из дублёной кожи	Вываренная, дублёная кожа. Конечно, защита замечательная, но пахнет забавно.	Capacete de Couro Endurecido	Couro cozido e endurecido. Realmente protege bem, mas tem um cheiro estranho.	Gehärtete Lederkappe	Durch Brühen gehärtetes Leder. Sicherlich ein guter Schutz, riecht aber komisch.	Wzmocniona skórzana czapka	Gotowana, wzmocniona skóra. To świetna ochrona, ale teraz dziwnie pachnie.	Tvrzená kožená čepice	Vařená, tvrzená kůže. Je to skvělá ochrana, ale divně zapáchá.	Sertleştirilmiş Deri Başlık	Kaynatılarak sertleştirilmiş deri. İyi koruma sağladığına şüphe yok ama komik kokuyor.	Cappuccio di cuoio rinforzato.	Cuoio bollito e rinforzato. Di sicuro una grande protezione ma ha uno strano odore.
