index	type	text_english	text_ES	Go To	conditions	actions
1,demonboss	Q	В каком месте, блин, ты у себя прятал этот уничтожитель?! Мы его заберём! 	port.	0	"PlayerHasItem#10128;PlayerHasItem#10129"	"NPCDespawn#demon2;NPCSpawn#demon2;LoseItems#10128,20;LoseItems#10129,20"	
1,demonboss	Q	В каком месте, блин, ты у себя прятал этот уничтожитель?! Мы его заберём! 	port.	0	"PlayerHasItem#10128"	"NPCDespawn#demon2;NPCSpawn#demon2;LoseItems#10128,20"	
1,demonboss	Q	В каком месте, блин, ты у себя прятал этот уничтожитель?! Мы его заберём! 	port.	0	"PlayerHasItem#10129"	"NPCDespawn#demon2;NPCSpawn#demon2;LoseItems#10129,20"	
1	Q	Пошёл ты на хер отсюда со своми читерными пушками! 	port.	0	"PlayerHasItem#10182"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Пошёл ты на хер отсюда со своми читерными пушками! 	port.	0	"PlayerHasItem#10183"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Пошёл ты на хер отсюда со своми читерными пушками! 	port.	0	"PlayerHasItem#10184"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Пошёл ты на хер отсюда со своми читерными пушками! 	port.	0	"PlayerHasItem#10213"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Пошёл ты на хер отсюда со своми читерными пушками! 	port.	0	"PlayerHasItem#10187"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Пошёл ты на хер отсюда со своми читерными пушками! 	port.	0	"PlayerHasItem#10188"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1	Q	Пошёл ты на хер отсюда со своми читерными пушками! 	port.	0	"PlayerHasItem#10295"	"Travel#O7_dungeon,2;ItemActivate#grate4;SetVariable#demon_rare,4"	
1,demonboss	Q	Эй, что за дела, он уже слился?! 	port.	0	"VariableEqual#demon_cheat,1"	"NPCDespawn#demon2;NPCSpawn#demon2"	
1,demonboss	Q	Эй, что за дела, он уже слился?! 	port.	0			
